Software Version,3.08.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Lab Admin\Documents\Eli\Thinfilm\Protocol1_220630_160057.xpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Protocol1.prt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,6/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,3:34:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader Type:,Cytation5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader Serial Number:,1909192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read,Fluorescence Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed Excitation: 450/20 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Emission Start: 500/20 nm,  Stop: 850 nm,  Step: 1 nm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Optics: Bottom,  Gain: 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Light Source: Xenon Flash,  Lamp Energy: High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read 1:EM Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,,2,,4,,6,,8,,,,,,,,,,,,,,,,10,,12,,14,,20,,30,,,,,,,,,,,,,,,,40,,50,,60,,70,,80,,100,,,,,,,,,,,,,,,,,,,,,,,,
,Wavelength,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,500,,,,,,,,,,,,,,5,,3,,2,,3,,4,,,,,,,,,,,,,,,,4,,6,,7,,9,,3,,,,,,,,,,,,,,,,81,,105,,671,,954,,2217,,4822,,,,,,,,,,,,,,,,,,,,,,,,
,501,,,,,,,,,,,,,,6,,3,,2,,2,,4,,,,,,,,,,,,,,,,4,,5,,7,,8,,3,,,,,,,,,,,,,,,,80,,107,,668,,960,,2228,,4771,,,,,,,,,,,,,,,,,,,,,,,,
,502,,,,,,,,,,,,,,6,,2,,2,,3,,3,,,,,,,,,,,,,,,,4,,4,,6,,7,,3,,,,,,,,,,,,,,,,74,,106,,649,,991,,2203,,4785,,,,,,,,,,,,,,,,,,,,,,,,
,503,,,,,,,,,,,,,,6,,2,,2,,2,,3,,,,,,,,,,,,,,,,4,,4,,5,,8,,3,,,,,,,,,,,,,,,,80,,102,,652,,970,,2158,,4728,,,,,,,,,,,,,,,,,,,,,,,,
,504,,,,,,,,,,,,,,6,,3,,2,,2,,3,,,,,,,,,,,,,,,,4,,4,,5,,8,,3,,,,,,,,,,,,,,,,77,,101,,669,,984,,2202,,4622,,,,,,,,,,,,,,,,,,,,,,,,
,505,,,,,,,,,,,,,,6,,3,,2,,2,,3,,,,,,,,,,,,,,,,3,,4,,5,,7,,2,,,,,,,,,,,,,,,,74,,105,,663,,945,,2189,,4582,,,,,,,,,,,,,,,,,,,,,,,,
,506,,,,,,,,,,,,,,6,,2,,2,,2,,3,,,,,,,,,,,,,,,,3,,4,,5,,7,,2,,,,,,,,,,,,,,,,75,,105,,648,,960,,2172,,4599,,,,,,,,,,,,,,,,,,,,,,,,
,507,,,,,,,,,,,,,,5,,2,,2,,2,,3,,,,,,,,,,,,,,,,3,,5,,4,,7,,2,,,,,,,,,,,,,,,,78,,104,,658,,921,,2146,,4520,,,,,,,,,,,,,,,,,,,,,,,,
,508,,,,,,,,,,,,,,6,,2,,2,,2,,3,,,,,,,,,,,,,,,,3,,5,,4,,8,,2,,,,,,,,,,,,,,,,73,,106,,658,,966,,2089,,4512,,,,,,,,,,,,,,,,,,,,,,,,
,509,,,,,,,,,,,,,,6,,2,,2,,2,,3,,,,,,,,,,,,,,,,3,,5,,4,,7,,2,,,,,,,,,,,,,,,,79,,97,,651,,951,,2082,,4440,,,,,,,,,,,,,,,,,,,,,,,,
,510,,,,,,,,,,,,,,5,,2,,1,,2,,3,,,,,,,,,,,,,,,,3,,4,,5,,7,,2,,,,,,,,,,,,,,,,75,,101,,634,,932,,2072,,4351,,,,,,,,,,,,,,,,,,,,,,,,
,511,,,,,,,,,,,,,,5,,2,,1,,2,,3,,,,,,,,,,,,,,,,3,,5,,5,,7,,2,,,,,,,,,,,,,,,,81,,105,,656,,945,,2100,,4324,,,,,,,,,,,,,,,,,,,,,,,,
,512,,,,,,,,,,,,,,6,,2,,2,,2,,3,,,,,,,,,,,,,,,,3,,4,,4,,7,,2,,,,,,,,,,,,,,,,78,,101,,627,,923,,2070,,4330,,,,,,,,,,,,,,,,,,,,,,,,
,513,,,,,,,,,,,,,,5,,2,,2,,2,,4,,,,,,,,,,,,,,,,3,,5,,4,,7,,3,,,,,,,,,,,,,,,,74,,100,,629,,931,,2084,,4317,,,,,,,,,,,,,,,,,,,,,,,,
,514,,,,,,,,,,,,,,6,,2,,2,,2,,3,,,,,,,,,,,,,,,,2,,4,,4,,8,,2,,,,,,,,,,,,,,,,76,,100,,623,,919,,2077,,4255,,,,,,,,,,,,,,,,,,,,,,,,
,515,,,,,,,,,,,,,,5,,2,,2,,2,,3,,,,,,,,,,,,,,,,3,,4,,4,,6,,3,,,,,,,,,,,,,,,,82,,101,,629,,922,,2035,,4242,,,,,,,,,,,,,,,,,,,,,,,,
,516,,,,,,,,,,,,,,5,,2,,1,,2,,2,,,,,,,,,,,,,,,,3,,4,,4,,8,,2,,,,,,,,,,,,,,,,76,,99,,612,,918,,2021,,4183,,,,,,,,,,,,,,,,,,,,,,,,
,517,,,,,,,,,,,,,,5,,2,,1,,2,,3,,,,,,,,,,,,,,,,3,,4,,4,,8,,2,,,,,,,,,,,,,,,,74,,98,,628,,900,,2069,,4202,,,,,,,,,,,,,,,,,,,,,,,,
,518,,,,,,,,,,,,,,6,,2,,2,,1,,2,,,,,,,,,,,,,,,,3,,4,,4,,7,,2,,,,,,,,,,,,,,,,74,,104,,599,,916,,2043,,4151,,,,,,,,,,,,,,,,,,,,,,,,
,519,,,,,,,,,,,,,,5,,2,,2,,2,,3,,,,,,,,,,,,,,,,4,,4,,4,,7,,2,,,,,,,,,,,,,,,,77,,106,,597,,933,,2064,,4084,,,,,,,,,,,,,,,,,,,,,,,,
,520,,,,,,,,,,,,,,5,,2,,2,,2,,2,,,,,,,,,,,,,,,,2,,3,,4,,6,,2,,,,,,,,,,,,,,,,74,,103,,586,,904,,2104,,4081,,,,,,,,,,,,,,,,,,,,,,,,
,521,,,,,,,,,,,,,,6,,2,,2,,2,,2,,,,,,,,,,,,,,,,4,,4,,5,,6,,2,,,,,,,,,,,,,,,,73,,102,,623,,882,,2099,,4097,,,,,,,,,,,,,,,,,,,,,,,,
,522,,,,,,,,,,,,,,5,,2,,2,,1,,2,,,,,,,,,,,,,,,,2,,4,,4,,7,,2,,,,,,,,,,,,,,,,75,,107,,596,,914,,2060,,3993,,,,,,,,,,,,,,,,,,,,,,,,
,523,,,,,,,,,,,,,,5,,2,,1,,2,,3,,,,,,,,,,,,,,,,3,,4,,4,,7,,2,,,,,,,,,,,,,,,,73,,97,,592,,928,,2086,,3910,,,,,,,,,,,,,,,,,,,,,,,,
,524,,,,,,,,,,,,,,5,,2,,2,,2,,2,,,,,,,,,,,,,,,,3,,3,,4,,7,,1,,,,,,,,,,,,,,,,69,,93,,575,,925,,2099,,3899,,,,,,,,,,,,,,,,,,,,,,,,
,525,,,,,,,,,,,,,,6,,1,,1,,1,,3,,,,,,,,,,,,,,,,2,,4,,4,,5,,2,,,,,,,,,,,,,,,,70,,101,,590,,919,,2167,,3847,,,,,,,,,,,,,,,,,,,,,,,,
,526,,,,,,,,,,,,,,6,,1,,1,,2,,2,,,,,,,,,,,,,,,,2,,4,,3,,6,,2,,,,,,,,,,,,,,,,71,,90,,570,,902,,2205,,3866,,,,,,,,,,,,,,,,,,,,,,,,
,527,,,,,,,,,,,,,,5,,1,,1,,2,,2,,,,,,,,,,,,,,,,2,,3,,4,,7,,2,,,,,,,,,,,,,,,,70,,102,,568,,914,,2264,,3780,,,,,,,,,,,,,,,,,,,,,,,,
,528,,,,,,,,,,,,,,6,,2,,1,,2,,2,,,,,,,,,,,,,,,,2,,4,,3,,6,,2,,,,,,,,,,,,,,,,71,,95,,573,,892,,2261,,3649,,,,,,,,,,,,,,,,,,,,,,,,
,529,,,,,,,,,,,,,,6,,2,,1,,2,,2,,,,,,,,,,,,,,,,2,,3,,4,,7,,2,,,,,,,,,,,,,,,,73,,93,,544,,918,,2301,,3615,,,,,,,,,,,,,,,,,,,,,,,,
,530,,,,,,,,,,,,,,5,,2,,2,,1,,2,,,,,,,,,,,,,,,,2,,3,,4,,7,,2,,,,,,,,,,,,,,,,71,,96,,532,,960,,2434,,3565,,,,,,,,,,,,,,,,,,,,,,,,
,531,,,,,,,,,,,,,,5,,2,,1,,2,,2,,,,,,,,,,,,,,,,3,,3,,4,,7,,2,,,,,,,,,,,,,,,,70,,93,,548,,985,,2536,,3497,,,,,,,,,,,,,,,,,,,,,,,,
,532,,,,,,,,,,,,,,5,,2,,2,,1,,3,,,,,,,,,,,,,,,,2,,4,,3,,6,,2,,,,,,,,,,,,,,,,67,,97,,547,,975,,2633,,3477,,,,,,,,,,,,,,,,,,,,,,,,
,533,,,,,,,,,,,,,,5,,1,,1,,2,,2,,,,,,,,,,,,,,,,2,,3,,3,,7,,2,,,,,,,,,,,,,,,,65,,87,,520,,987,,2720,,3376,,,,,,,,,,,,,,,,,,,,,,,,
,534,,,,,,,,,,,,,,5,,1,,1,,2,,2,,,,,,,,,,,,,,,,3,,4,,3,,7,,2,,,,,,,,,,,,,,,,67,,93,,516,,1025,,2841,,3306,,,,,,,,,,,,,,,,,,,,,,,,
,535,,,,,,,,,,,,,,5,,1,,1,,2,,2,,,,,,,,,,,,,,,,3,,3,,4,,6,,2,,,,,,,,,,,,,,,,68,,93,,528,,1068,,3035,,3276,,,,,,,,,,,,,,,,,,,,,,,,
,536,,,,,,,,,,,,,,5,,2,,1,,1,,2,,,,,,,,,,,,,,,,3,,3,,3,,5,,2,,,,,,,,,,,,,,,,64,,82,,507,,1112,,3201,,3243,,,,,,,,,,,,,,,,,,,,,,,,
,537,,,,,,,,,,,,,,5,,2,,1,,1,,2,,,,,,,,,,,,,,,,3,,3,,4,,5,,2,,,,,,,,,,,,,,,,63,,87,,519,,1146,,3351,,3114,,,,,,,,,,,,,,,,,,,,,,,,
,538,,,,,,,,,,,,,,4,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,4,,4,,6,,2,,,,,,,,,,,,,,,,65,,86,,531,,1261,,3583,,3135,,,,,,,,,,,,,,,,,,,,,,,,
,539,,,,,,,,,,,,,,5,,2,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,4,,5,,3,,,,,,,,,,,,,,,,64,,89,,521,,1263,,3714,,3079,,,,,,,,,,,,,,,,,,,,,,,,
,540,,,,,,,,,,,,,,4,,2,,1,,1,,2,,,,,,,,,,,,,,,,2,,4,,3,,6,,1,,,,,,,,,,,,,,,,67,,85,,544,,1385,,3970,,3086,,,,,,,,,,,,,,,,,,,,,,,,
,541,,,,,,,,,,,,,,5,,1,,1,,1,,2,,,,,,,,,,,,,,,,3,,3,,3,,5,,2,,,,,,,,,,,,,,,,64,,86,,520,,1505,,4218,,3079,,,,,,,,,,,,,,,,,,,,,,,,
,542,,,,,,,,,,,,,,5,,1,,1,,2,,2,,,,,,,,,,,,,,,,2,,3,,3,,6,,1,,,,,,,,,,,,,,,,62,,84,,556,,1580,,4448,,2931,,,,,,,,,,,,,,,,,,,,,,,,
,543,,,,,,,,,,,,,,5,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,3,,4,,2,,,,,,,,,,,,,,,,64,,83,,558,,1699,,4542,,2896,,,,,,,,,,,,,,,,,,,,,,,,
,544,,,,,,,,,,,,,,4,,1,,1,,1,,2,,,,,,,,,,,,,,,,3,,4,,3,,6,,2,,,,,,,,,,,,,,,,59,,84,,568,,1856,,4872,,2813,,,,,,,,,,,,,,,,,,,,,,,,
,545,,,,,,,,,,,,,,5,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,4,,6,,2,,,,,,,,,,,,,,,,59,,83,,578,,2052,,5149,,2764,,,,,,,,,,,,,,,,,,,,,,,,
,546,,,,,,,,,,,,,,4,,2,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,3,,6,,2,,,,,,,,,,,,,,,,59,,81,,584,,2204,,5326,,2807,,,,,,,,,,,,,,,,,,,,,,,,
,547,,,,,,,,,,,,,,4,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,3,,6,,2,,,,,,,,,,,,,,,,59,,78,,600,,2476,,5567,,2731,,,,,,,,,,,,,,,,,,,,,,,,
,548,,,,,,,,,,,,,,4,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,2,,4,,1,,,,,,,,,,,,,,,,64,,82,,632,,2748,,5819,,2646,,,,,,,,,,,,,,,,,,,,,,,,
,549,,,,,,,,,,,,,,4,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,3,,6,,1,,,,,,,,,,,,,,,,60,,77,,650,,3050,,6163,,2616,,,,,,,,,,,,,,,,,,,,,,,,
,550,,,,,,,,,,,,,,3,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,3,,6,,1,,,,,,,,,,,,,,,,60,,78,,674,,3353,,6320,,2594,,,,,,,,,,,,,,,,,,,,,,,,
,551,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,3,,2,,5,,1,,,,,,,,,,,,,,,,57,,76,,706,,3973,,6763,,2582,,,,,,,,,,,,,,,,,,,,,,,,
,552,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,3,,2,,6,,2,,,,,,,,,,,,,,,,56,,75,,781,,4440,,7017,,2538,,,,,,,,,,,,,,,,,,,,,,,,
,553,,,,,,,,,,,,,,4,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,2,,2,,6,,1,,,,,,,,,,,,,,,,58,,78,,859,,5056,,7212,,2460,,,,,,,,,,,,,,,,,,,,,,,,
,554,,,,,,,,,,,,,,4,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,2,,3,,5,,2,,,,,,,,,,,,,,,,56,,70,,871,,5577,,7330,,2363,,,,,,,,,,,,,,,,,,,,,,,,
,555,,,,,,,,,,,,,,3,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,2,,5,,2,,,,,,,,,,,,,,,,51,,71,,960,,6368,,7400,,2363,,,,,,,,,,,,,,,,,,,,,,,,
,556,,,,,,,,,,,,,,3,,1,,1,,1,,2,,,,,,,,,,,,,,,,1,,2,,2,,5,,1,,,,,,,,,,,,,,,,58,,76,,1050,,7234,,7629,,2375,,,,,,,,,,,,,,,,,,,,,,,,
,557,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,3,,3,,5,,1,,,,,,,,,,,,,,,,54,,69,,1155,,8003,,7778,,2289,,,,,,,,,,,,,,,,,,,,,,,,
,558,,,,,,,,,,,,,,3,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,3,,5,,2,,,,,,,,,,,,,,,,53,,70,,1248,,8660,,7753,,2269,,,,,,,,,,,,,,,,,,,,,,,,
,559,,,,,,,,,,,,,,3,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,3,,2,,6,,1,,,,,,,,,,,,,,,,58,,74,,1355,,9765,,7816,,2200,,,,,,,,,,,,,,,,,,,,,,,,
,560,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,3,,2,,5,,1,,,,,,,,,,,,,,,,50,,70,,1453,,10610,,7768,,2139,,,,,,,,,,,,,,,,,,,,,,,,
,561,,,,,,,,,,,,,,3,,1,,1,,1,,2,,,,,,,,,,,,,,,,2,,2,,2,,4,,1,,,,,,,,,,,,,,,,52,,72,,1603,,11445,,7672,,2100,,,,,,,,,,,,,,,,,,,,,,,,
,562,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,3,,2,,5,,2,,,,,,,,,,,,,,,,50,,77,,1696,,12254,,7642,,2046,,,,,,,,,,,,,,,,,,,,,,,,
,563,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,2,,4,,1,,,,,,,,,,,,,,,,55,,68,,1918,,12906,,7424,,2054,,,,,,,,,,,,,,,,,,,,,,,,
,564,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,2,,2,,4,,1,,,,,,,,,,,,,,,,52,,68,,2076,,13977,,7241,,2062,,,,,,,,,,,,,,,,,,,,,,,,
,565,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,2,,2,,4,,2,,,,,,,,,,,,,,,,52,,65,,2322,,14980,,7154,,1981,,,,,,,,,,,,,,,,,,,,,,,,
,566,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,2,,4,,1,,,,,,,,,,,,,,,,51,,68,,2407,,15644,,6952,,1997,,,,,,,,,,,,,,,,,,,,,,,,
,567,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,3,,2,,4,,1,,,,,,,,,,,,,,,,56,,68,,2654,,16182,,6806,,1935,,,,,,,,,,,,,,,,,,,,,,,,
,568,,,,,,,,,,,,,,2,,1,,0,,1,,1,,,,,,,,,,,,,,,,1,,2,,2,,4,,1,,,,,,,,,,,,,,,,56,,65,,2869,,17164,,6531,,1911,,,,,,,,,,,,,,,,,,,,,,,,
,569,,,,,,,,,,,,,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,2,,4,,1,,,,,,,,,,,,,,,,52,,68,,3131,,17893,,6346,,1916,,,,,,,,,,,,,,,,,,,,,,,,
,570,,,,,,,,,,,,,,2,,1,,0,,1,,1,,,,,,,,,,,,,,,,1,,2,,2,,5,,1,,,,,,,,,,,,,,,,56,,70,,3350,,18185,,6327,,1848,,,,,,,,,,,,,,,,,,,,,,,,
,571,,,,,,,,,,,,,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,2,,4,,2,,,,,,,,,,,,,,,,49,,69,,3753,,18973,,5715,,1833,,,,,,,,,,,,,,,,,,,,,,,,
,572,,,,,,,,,,,,,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,2,,5,,2,,,,,,,,,,,,,,,,52,,69,,4089,,19817,,5548,,1780,,,,,,,,,,,,,,,,,,,,,,,,
,573,,,,,,,,,,,,,,3,,1,,1,,1,,2,,,,,,,,,,,,,,,,1,,2,,2,,5,,2,,,,,,,,,,,,,,,,55,,70,,4489,,19937,,5220,,1777,,,,,,,,,,,,,,,,,,,,,,,,
,574,,,,,,,,,,,,,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,2,,2,,2,,4,,2,,,,,,,,,,,,,,,,50,,69,,4730,,20085,,4990,,1772,,,,,,,,,,,,,,,,,,,,,,,,
,575,,,,,,,,,,,,,,2,,1,,1,,0,,1,,,,,,,,,,,,,,,,1,,3,,2,,4,,2,,,,,,,,,,,,,,,,50,,68,,5226,,20272,,4726,,1701,,,,,,,,,,,,,,,,,,,,,,,,
,576,,,,,,,,,,,,,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,1,,4,,1,,,,,,,,,,,,,,,,52,,70,,5725,,20699,,4392,,1653,,,,,,,,,,,,,,,,,,,,,,,,
,577,,,,,,,,,,,,,,2,,1,,1,,1,,2,,,,,,,,,,,,,,,,1,,2,,2,,4,,2,,,,,,,,,,,,,,,,52,,78,,6386,,20517,,4028,,1681,,,,,,,,,,,,,,,,,,,,,,,,
,578,,,,,,,,,,,,,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,2,,4,,2,,,,,,,,,,,,,,,,53,,79,,6720,,20445,,3907,,1637,,,,,,,,,,,,,,,,,,,,,,,,
,579,,,,,,,,,,,,,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,1,,5,,2,,,,,,,,,,,,,,,,59,,81,,7268,,20230,,3599,,1643,,,,,,,,,,,,,,,,,,,,,,,,
